Unnamed: 0,index,user_id,emoji_sentence,char_count,cluster,sentence,gender_labels,sentiment_labels,emotion_labels,age_labels,stance_labels,is_duplicate,gender_labels_using_sentence,sentiment_labels_using_sentence,emotion_labels_using_sentence,age_labels_using_sentence,stance_labels_using_sentence,random_sentence,gender_labels_using_random_sentence,sentiment_labels_using_random_sentence,emotion_labels_using_random_sentence,age_labels_using_random_sentence,stance_labels_using_random_sentence,real_emojis,random_emojis
805,8524,5116f5de3f8eb6711ab6eefe1692d8bb,I have so much rage towards #DublinBus its unreal!!😡😡,53,8,I have so much rage towards #DublinBus its unreal!!,female,negative,anger,teen,against,False,female,negative,anger,teen,against,I have so much rage towards #DublinBus its unreal!! 🧁▶️🙆,female,negative,anger,teen,against,😡😡,🧁🙆
806,8530,5116f5de3f8eb6711ab6eefe1692d8bb,There's a woman standing on the stairs of the bus cause she won't stand downstairs. Is it bad that I hope she falls💁🏻,117,8,There's a woman standing on the stairs of the bus cause she won't stand downstairs. Is it bad that I hope she falls,female,negative,anger,teen,against,False,male,negative,anger,teen,against,There's a woman standing on the stairs of the bus cause she won't stand downstairs. Is it bad that I hope she falls 🥂😹💦,male,negative,anger,teen,against,💁🏻,🥂😹💦
807,8533,5116f5de3f8eb6711ab6eefe1692d8bb,Just painted my nails and now the inside of my ear is so itchy 😬,64,8,Just painted my nails and now the inside of my ear is so itchy ,female,neutral,disgust,teen,none,False,female,neutral,disgust,teen,none,Just painted my nails and now the inside of my ear is so itchy  🤗📸🏡,female,neutral,happiness,teen,none,😬,🤗📸🏡
808,8535,5116f5de3f8eb6711ab6eefe1692d8bb,"2 girls I hate just got on my bus. Seriously,please remove yourselves from my eye line 😒😒",89,8,"2 girls I hate just got on my bus. Seriously,please remove yourselves from my eye line ",male,negative,anger,teen,against,False,male,negative,anger,teen,against,"2 girls I hate just got on my bus. Seriously,please remove yourselves from my eye line  😬🎇🐎",female,negative,disgust,teen,none,😒😒,😬🎇🐎
809,8541,5116f5de3f8eb6711ab6eefe1692d8bb,Nearly snapped my ankle going down the stairs😩,46,8,Nearly snapped my ankle going down the stairs,female,negative,fear,teen,none,False,female,negative,fear,teen,none,Nearly snapped my ankle going down the stairs 🧸🗣️🧚,female,negative,fear,teen,none,😩,🧸🗣🧚
810,8562,5116f5de3f8eb6711ab6eefe1692d8bb,"Dublin bus is so unreliable lately,it drives me insane 😡😡",57,8,"Dublin bus is so unreliable lately,it drives me insane ",female,negative,anger,adult,against,False,female,negative,anger,adult,against,"Dublin bus is so unreliable lately,it drives me insane  🐐🥜🌱",female,negative,anger,adult,against,😡😡,🐐🥜🌱
811,8563,5116f5de3f8eb6711ab6eefe1692d8bb,How is the bus due in 10 mins and then it completely disappears off the screen and doesn't appear back on it again??😡😡,118,8,How is the bus due in 10 mins and then it completely disappears off the screen and doesn't appear back on it again??,female,negative,anger,teen,none,False,female,negative,anger,teen,none,How is the bus due in 10 mins and then it completely disappears off the screen and doesn't appear back on it again?? 🎮💕⚫,female,neutral,frustration,teen,none,😡😡,🎮💕⚫
812,8603,4a683f19dc049469e67e51b4a7b0ce4f,What the hell? WHERE IS  ??! #livid #GIDC 😪,43,8,What the hell? WHERE IS  ??! #livid #GIDC ,female,negative,anger,teen,none,True,female,negative,anger,teen,none,What the hell? WHERE IS  ??! #livid #GIDC  😉⭕🥧,female,negative,anger,teen,none,😪,😉🥧
813,8634,b8cc8da578fda290f0be726ac8c484a9,they cunts should be donating millions to balance out the amount of damage they've done 😂,89,8,they cunts should be donating millions to balance out the amount of damage they've done ,male,negative,anger,teen,against,False,male,negative,anger,teen,against,they cunts should be donating millions to balance out the amount of damage they've done  🤠😩🎻,female,negative,anger,teen,against,😂,🤠😩🎻
814,8636,b8cc8da578fda290f0be726ac8c484a9,she must suck like a champ if your that keen to retrieve her number. Good luck mate 👌👍,86,6,she must suck like a champ if your that keen to retrieve her number. Good luck mate ,male,negative,disgust,teen,none,False,male,negative,disgust,teen,none,she must suck like a champ if your that keen to retrieve her number. Good luck mate  🍡🌾🍟,male,negative,disgust,teen,against,👌👍,🍡🌾🍟
815,8640,fa0a6c0267eec672666b404dd0cd0998,"This, right fucking here. 👇🏻",28,8,"This, right fucking here. ",female,neutral,anger,teen,none,False,male,neutral,anger,adult,none,"This, right fucking here.  😗🤥☑️",male,neutral,anger,teen,none,👇🏻,😗🤥☑
816,8641,15d51fbeef731bb1882dc69a61dacc5d,It's true... the alt right shows up to counter our efforts... No doubt in my mind... protesters stand proud in pink hats! ✌️️,125,8,It's true... the alt right shows up to counter our efforts... No doubt in my mind... protesters stand proud in pink hats! ,female,positive,anger,teen,none,False,female,neutral,anger,adult,favor,It's true... the alt right shows up to counter our efforts... No doubt in my mind... protesters stand proud in pink hats!  🇲🇽🛑🥀,female,negative,sadness,adult,against,✌,🇲🇽🛑🥀
817,8655,15d51fbeef731bb1882dc69a61dacc5d,YOU GO!  We caring Humans will stay... and take all your bigot comrades with you! ✌️️,85,8,YOU GO!  We caring Humans will stay... and take all your bigot comrades with you! ,female,positive,anger,teen,against,False,female,negative,anger,teen,against,YOU GO!  We caring Humans will stay... and take all your bigot comrades with you!  👉⚰️😦,female,negative,anger,teen,against,✌,👉⚰😦
818,8659,15d51fbeef731bb1882dc69a61dacc5d,YesWeAre..What makes White People think they are all that?  We are nothing without diversity... Diversity = An Open Heart..✌️️🙏💗,128,8,YesWeAre..What makes White People think they are all that?  We are nothing without diversity... Diversity = An Open Heart..,female,positive,anger,teen,against,False,female,negative,anger,adult,against,YesWeAre..What makes White People think they are all that?  We are nothing without diversity... Diversity = An Open Heart.. 🍩💫🍎,female,positive,anger,teen,none,✌🙏💗,🍩💫🍎
819,8663,15d51fbeef731bb1882dc69a61dacc5d,"You shut yours... shame on you, Fool! 😖",39,8,"You shut yours... shame on you, Fool! ",female,negative,anger,teen,against,False,female,negative,anger,teen,against,"You shut yours... shame on you, Fool!  💖😯😻",female,negative,surprise,teen,none,😖,💖😯😻
820,8664,15d51fbeef731bb1882dc69a61dacc5d,Trump is all ego and greed! 😓,29,8,Trump is all ego and greed! ,female,negative,anger,teen,against,False,female,negative,anger,adult,against,Trump is all ego and greed!  🌹🦀🍷,female,negative,anger,teen,against,😓,🌹🦀🍷
821,8665,15d51fbeef731bb1882dc69a61dacc5d,Didn't you already say that? 🙄Barron's problems are bigger than a skit on SNL!,78,7,Didn't you already say that? Barron's problems are bigger than a skit on SNL!,female,negative,disgust,adult,against,True,male,negative,anger,adult,against,Didn't you already say that? Barron's problems are bigger than a skit on SNL! 👐💰👎,female,negative,anger,adult,against,🙄,👐💰👎
822,8668,15d51fbeef731bb1882dc69a61dacc5d,I don't believe you and that's okay. Agree to disagree. ✌️️,59,8,I don't believe you and that's okay. Agree to disagree. ,female,neutral,disgust,adult,none,False,female,neutral,disgust,adult,none,I don't believe you and that's okay. Agree to disagree.  ➡️😪⛳,female,neutral,sadness,adult,none,✌,➡😪⛳
823,8691,15d51fbeef731bb1882dc69a61dacc5d,It is a frightening time! 😔😔😔,29,8,It is a frightening time! ,female,negative,fear,teen,none,False,female,negative,fear,teen,none,It is a frightening time!  📺📍🐣,female,negative,fear,teen,none,😔😔😔,📺📍🐣
824,8698,15d51fbeef731bb1882dc69a61dacc5d,Trump is a snake! 😠,19,8,Trump is a snake! ,female,negative,anger,teen,against,False,female,negative,anger,teen,against,Trump is a snake!  🥃🌌😫,female,negative,anger,teen,against,😠,🥃🌌😫
825,8699,15d51fbeef731bb1882dc69a61dacc5d,"Good ad with the tv docs... But kind of shows just how much money you have... Maybe more humility, and lower premiums or co-pays! ✌️",132,8,"Good ad with the tv docs... But kind of shows just how much money you have... Maybe more humility, and lower premiums or co-pays! ",female,neutral,disgust,adult,none,False,female,neutral,anger,adult,none,"Good ad with the tv docs... But kind of shows just how much money you have... Maybe more humility, and lower premiums or co-pays!  🐶🍔🎓",female,neutral,disgust,adult,none,✌,🐶🍔🎓
826,8701,d64cd316c75271f4efe1005d0143625e,"🌏 &gt; 🔎🎻
Why the rich are running out of money |",49,8," &gt; 
Why the rich are running out of money |",male,neutral,anger,adult,none,False,male,neutral,sadness,adult,none," &gt; 
Why the rich are running out of money | 🤗🦋🦠",female,neutral,surprise,teen,none,🌏🔎🎻,🤗🦋🦠
827,8712,8c50682ac7437f51d17e514f23adcca5,"👍 but I'm curious, what would force you? I expect like most people you'll just adapt &amp; put up with whatever Apple does.",123,8," but I'm curious, what would force you? I expect like most people you'll just adapt &amp; put up with whatever Apple does.",male,neutral,disgust,adult,none,False,female,neutral,disgust,adult,none," but I'm curious, what would force you? I expect like most people you'll just adapt &amp; put up with whatever Apple does. 🌅🤒📱",female,neutral,disgust,adult,none,👍,🌅🤒📱
828,8721,8c50682ac7437f51d17e514f23adcca5,"Don't make me block you,  😒 #ISITOVERYET",40,8,"Don't make me block you,   #ISITOVERYET",female,negative,anger,teen,none,False,female,negative,anger,teen,none,"Don't make me block you,   #ISITOVERYET 🌵🔞📷",female,negative,anger,teen,none,😒,🌵🔞📷
829,8723,8c50682ac7437f51d17e514f23adcca5,"I bought a  Experimenters Kit ages ago, it's great. Thank you. , very disappointing 😡",85,8,"I bought a  Experimenters Kit ages ago, it's great. Thank you. , very disappointing ",female,negative,anger,adult,none,False,female,negative,disgust,adult,none,"I bought a  Experimenters Kit ages ago, it's great. Thank you. , very disappointing  🎓🍯😰",female,negative,disgust,adult,none,😡,🎓🍯😰
830,8733,8a534b727e19f7c9fe6576699665f2d5,When your bus smells like Fritos chips or sweaty socks and you don't know which one 😒,85,8,When your bus smells like Fritos chips or sweaty socks and you don't know which one ,female,negative,disgust,teen,none,False,female,negative,disgust,teen,none,When your bus smells like Fritos chips or sweaty socks and you don't know which one  📚🤟😛,female,neutral,disgust,teen,none,😒,📚🤟😛
831,8751,d299c7c4cc16f676522008f3495d08df,"They threw away a one goal lead, therefore they deserve to be kicked out of the . Good analysis , well done. 👏 #knob",116,8,"They threw away a one goal lead, therefore they deserve to be kicked out of the . Good analysis , well done.  #knob",male,negative,anger,adult,against,False,male,negative,anger,adult,against,"They threw away a one goal lead, therefore they deserve to be kicked out of the . Good analysis , well done.  #knob 🌃🌲✅",male,negative,anger,adult,against,👏,🌃🌲✅
832,8757,d299c7c4cc16f676522008f3495d08df,Picked the same afternoon to work from home as fire alarm testing is being done in my apartment building. Great 👌,113,8,Picked the same afternoon to work from home as fire alarm testing is being done in my apartment building. Great ,female,neutral,anger,adult,none,False,female,negative,frustration,adult,none,Picked the same afternoon to work from home as fire alarm testing is being done in my apartment building. Great  😔🌷🌹,female,negative,sadness,adult,none,👌,😔🌷🌹
833,8777,ab043279ce6b8df80f197cabfa60dfd7,🇺🇸meddling in foreign elections since ages ago,46,8,meddling in foreign elections since ages ago,male,negative,anger,adult,against,True,male,negative,anger,adult,none,meddling in foreign elections since ages ago 🏳️‍🌈👯👏,female,negative,anger,teen,none,🇺🇸,🏳🌈👯👏
834,8797,ab043279ce6b8df80f197cabfa60dfd7,Factions of the 🇺🇸 want a recount &amp; denounce the president elect. Accept the democratic process 🇺🇸. I would be saying it if Trump had lost,142,8,Factions of the  want a recount &amp; denounce the president elect. Accept the democratic process . I would be saying it if Trump had lost,male,neutral,anger,adult,none,True,male,neutral,anger,adult,none,Factions of the  want a recount &amp; denounce the president elect. Accept the democratic process . I would be saying it if Trump had lost 😇💣📸,female,neutral,surprise,adult,none,🇺🇸🇺🇸,😇💣📸
835,8806,5b40ffb9c34d94d20e5fb0dc87ccce9c,Either hearts are genuinely fucking terrible or raith only turn up for big games😶,81,8,Either hearts are genuinely fucking terrible or raith only turn up for big games,male,negative,disgust,teen,none,False,male,negative,anger,adult,none,Either hearts are genuinely fucking terrible or raith only turn up for big games 😯☠️🍏,male,negative,disgust,teen,none,😶,😯☠🍏
836,8808,5b40ffb9c34d94d20e5fb0dc87ccce9c,bet all 3 were about a raith player anaw🙄,41,8,bet all 3 were about a raith player anaw,female,negative,disgust,teen,none,False,male,neutral,disgust,teen,none,bet all 3 were about a raith player anaw 🤯💍😚,female,neutral,surprise,teen,none,🙄,🤯💍😚
837,8810,5b40ffb9c34d94d20e5fb0dc87ccce9c,forgot we've got Celtic next week cheers for that reminder😷,59,8,forgot we've got Celtic next week cheers for that reminder,male,negative,disgust,adult,none,False,male,neutral,surprise,adult,none,forgot we've got Celtic next week cheers for that reminder 👁️👧🥒,female,neutral,surprise,teen,none,😷,👁👧🥒
838,8811,5b40ffb9c34d94d20e5fb0dc87ccce9c,No gonna lie but cathro needs to go😶😶😶,38,8,No gonna lie but cathro needs to go,female,negative,disgust,teen,against,False,male,negative,anger,teen,against,No gonna lie but cathro needs to go 💊🔔✋,female,negative,anger,teen,against,😶😶😶,💊🔔✋
839,8814,5b40ffb9c34d94d20e5fb0dc87ccce9c,Pish patter🙄😷,13,8,Pish patter,female,negative,disgust,teen,none,False,female,neutral,surprise,child,none,Pish patter 🤦📍🌅,female,neutral,surprise,teen,none,🙄😷,🤦📍🌅
840,8817,5b40ffb9c34d94d20e5fb0dc87ccce9c,Just sitting laughing at myself for actually thinking Liverpool could win the league 😂😂😂😂😂😂😂 what a fucking retard I am,119,8,Just sitting laughing at myself for actually thinking Liverpool could win the league  what a fucking retard I am,male,negative,disgust,teen,none,False,male,negative,sadness,teen,none,Just sitting laughing at myself for actually thinking Liverpool could win the league  what a fucking retard I am ⚡🐐🐻,male,negative,sadness,teen,none,😂😂😂😂😂😂😂,⚡🐐🐻
841,8846,4a3b40beadc42b784e105e4d7ee10a8d,'s Lions team doesn't make pretty reading for Welsh supporters 😨⬇️,66,8,'s Lions team doesn't make pretty reading for Welsh supporters ,male,negative,fear,teen,none,True,male,negative,sadness,adult,against,'s Lions team doesn't make pretty reading for Welsh supporters  🎹📺💭,male,negative,sadness,adult,none,😨,🎹📺💭
842,8852,4a3b40beadc42b784e105e4d7ee10a8d,Here's the Bastareaud hit ⬇️😨😨😨,31,8,Here's the Bastareaud hit ,male,neutral,fear,teen,none,True,male,neutral,surprise,teen,none,Here's the Bastareaud hit  🧸😽🆘,female,neutral,surprise,teen,none,😨😨😨,🧸😽
843,9010,cd61c306f6b0ed19ffb5ca31cd95bc44,someone should blow up Wikipedia 😡😝,35,8,someone should blow up Wikipedia ,male,negative,anger,teen,against,False,male,negative,anger,teen,against,someone should blow up Wikipedia  ☀️🏁🥔,male,negative,anger,teen,against,😡😝,☀🏁🥔
844,9032,54c43d9c0f1c592226fe997b89156e8f,"The typo in that photo, though. 😑",33,8,"The typo in that photo, though. ",female,negative,disgust,teen,none,False,female,neutral,surprise,adult,none,"The typo in that photo, though.  🍬🇨🇦💡",female,neutral,surprise,teen,none,😑,🍬🇨🇦💡
845,9040,899575bd00f6bd431b6676e0b28c8e7d,": ""son of a coward"" should win the Insult of the Week trophy 🏆",62,8,": ""son of a coward"" should win the Insult of the Week trophy ",male,negative,anger,teen,favor,True,male,negative,anger,teen,none,": ""son of a coward"" should win the Insult of the Week trophy  💸🚴🌄",male,negative,anger,adult,none,🏆,💸🚴🌄
846,9041,899575bd00f6bd431b6676e0b28c8e7d,": yeah, that 7-10 split is a killer 😈",37,8,": yeah, that 7-10 split is a killer ",male,negative,anger,teen,none,False,male,negative,disgust,adult,none,": yeah, that 7-10 split is a killer  📣😄🍂",male,positive,happiness,teen,none,😈,📣😄🍂
847,9044,899575bd00f6bd431b6676e0b28c8e7d,"🤔people have ""sudden organ failure"" all the time, right?",56,8,"people have ""sudden organ failure"" all the time, right?",female,negative,fear,teen,none,False,male,negative,fear,teen,none,"people have ""sudden organ failure"" all the time, right? 🙇💞💚",female,neutral,sadness,teen,none,🤔,🙇💞💚
848,9049,899575bd00f6bd431b6676e0b28c8e7d,:it's not their job to be sycophantic yes-men...that's YOUR job.  And you're SO good at it 🤥🤥🤥🤥🤥,96,8,:it's not their job to be sycophantic yes-men...that's YOUR job.  And you're SO good at it ,female,negative,anger,adult,against,False,female,negative,anger,adult,against,:it's not their job to be sycophantic yes-men...that's YOUR job.  And you're SO good at it  🎧⚠️💙,female,negative,disgust,adult,against,🤥🤥🤥🤥🤥,🎧⚠💙
849,9055,899575bd00f6bd431b6676e0b28c8e7d,"""The real number is about 90,000.""  Kinda the inverse principal applied to Inauguration Day crowd measurement 🤥🤥🤥🤥🤥…",116,6,"""The real number is about 90,000.""  Kinda the inverse principal applied to Inauguration Day crowd measurement …",male,negative,disgust,adult,against,False,male,neutral,disgust,adult,none,"""The real number is about 90,000.""  Kinda the inverse principal applied to Inauguration Day crowd measurement … 🦆🐱🏠",male,neutral,surprise,adult,none,🤥🤥🤥🤥🤥,🦆🐱🏠
850,9056,899575bd00f6bd431b6676e0b28c8e7d,:quite a negative step for the Standing Rock Sioux.  But can't let treaties stand in the way of those donations 💰 Shame!,120,8,:quite a negative step for the Standing Rock Sioux.  But can't let treaties stand in the way of those donations  Shame!,female,negative,anger,adult,against,True,female,negative,anger,adult,against,:quite a negative step for the Standing Rock Sioux.  But can't let treaties stand in the way of those donations  Shame! 🐓😿🧸,female,negative,sadness,adult,against,💰,🐓😿🧸
851,9057,899575bd00f6bd431b6676e0b28c8e7d,The Media??? How about on #RudyGiuliani 🤔🤔🙄🙄,44,8,The Media??? How about on #RudyGiuliani ,female,neutral,anger,teen,none,False,male,neutral,anger,adult,none,The Media??? How about on #RudyGiuliani  👙☀️🍂,female,neutral,surprise,teen,none,🤔🤔🙄🙄,👙☀🍂
852,9058,899575bd00f6bd431b6676e0b28c8e7d,#SteveBannon and #StephenMiller (can #JeffSessions be far behind) OVERRULED the DHS 😡😡👿👿,88,8,#SteveBannon and #StephenMiller (can #JeffSessions be far behind) OVERRULED the DHS ,female,negative,anger,teen,against,True,male,negative,anger,adult,none,#SteveBannon and #StephenMiller (can #JeffSessions be far behind) OVERRULED the DHS  🎵🎻🤬,female,negative,anger,adult,against,😡😡👿👿,🎵🎻🤬
853,9059,899575bd00f6bd431b6676e0b28c8e7d,", , , #michaelmukasey - good to know who's to ""thank"" 😡😡😡😡",58,4,", , , #michaelmukasey - good to know who's to ""thank"" ",female,negative,anger,teen,against,False,female,negative,anger,adult,against,", , , #michaelmukasey - good to know who's to ""thank""  🚶✨😄",female,positive,happiness,teen,none,😡😡😡😡,🚶✨😄
854,9060,899575bd00f6bd431b6676e0b28c8e7d,How do you spell hypocrisy 🤥🤥🤥,30,8,How do you spell hypocrisy ,female,negative,anger,teen,none,True,male,neutral,surprise,teen,none,How do you spell hypocrisy  📱💩📸,female,negative,disgust,child,none,🤥🤥🤥,📱💩📸
855,9066,5acc4ebe6aa75b6b7c47a28229b7d203,It's so frustrating and a waste of time 😩,41,8,It's so frustrating and a waste of time ,female,negative,anger,teen,none,False,female,negative,anger,teen,none,It's so frustrating and a waste of time  ⚾🤸⬇️,female,negative,anger,teen,none,😩,⚾🤸
856,9072,5acc4ebe6aa75b6b7c47a28229b7d203,People with massive carry-on luggage. On the list 😬,51,8,People with massive carry-on luggage. On the list ,female,negative,disgust,teen,none,True,female,neutral,disgust,adult,none,People with massive carry-on luggage. On the list  🤲🍂🎧,female,neutral,disgust,teen,none,😬,🤲🍂🎧
857,9075,5acc4ebe6aa75b6b7c47a28229b7d203,About 10 brown snakes seen around work site this morning. Should be a great trip back to the car later 😨🐍🐍,106,8,About 10 brown snakes seen around work site this morning. Should be a great trip back to the car later ,male,negative,fear,adult,none,True,male,neutral,fear,adult,none,About 10 brown snakes seen around work site this morning. Should be a great trip back to the car later  💎🤬👮,male,negative,fear,adult,none,😨🐍🐍,💎🤬👮
858,9082,5acc4ebe6aa75b6b7c47a28229b7d203,Waiting for my pastizzi like 🙄,30,8,Waiting for my pastizzi like ,female,neutral,disgust,teen,none,False,female,neutral,happiness,teen,none,Waiting for my pastizzi like  🥧🏠📖,female,neutral,happiness,teen,none,🙄,🥧🏠📖
859,9084,5acc4ebe6aa75b6b7c47a28229b7d203,Slayer now cashing in on crap merch. Kerry King is the new Gene Simmons 🤑🤑,74,8,Slayer now cashing in on crap merch. Kerry King is the new Gene Simmons ,male,negative,disgust,adult,against,True,male,negative,anger,adult,against,Slayer now cashing in on crap merch. Kerry King is the new Gene Simmons  📞🍌🎇,male,negative,disgust,adult,against,🤑🤑,📞🍌🎇
860,9102,af26d040093e8a6c67e2bc63e4743ff6,Daughter just started boarding in a private school. Since she is gluten free she is given fruit salad for breakfast and vegetarian dinners 😨,140,8,Daughter just started boarding in a private school. Since she is gluten free she is given fruit salad for breakfast and vegetarian dinners ,female,negative,fear,adult,none,True,female,neutral,surprise,adult,none,Daughter just started boarding in a private school. Since she is gluten free she is given fruit salad for breakfast and vegetarian dinners  ▶️🎧🎄,female,neutral,happiness,adult,none,😨,🎧🎄
861,9107,af26d040093e8a6c67e2bc63e4743ff6,"2 glib phrases repeatedly used by cardiologists to justify statins:
- ""stabilize plaque""
- ""pleiotropic effects""
😒",114,8,"2 glib phrases repeatedly used by cardiologists to justify statins:
- ""stabilize plaque""
- ""pleiotropic effects""
",female,negative,disgust,adult,against,False,male,negative,disgust,adult,none,"2 glib phrases repeatedly used by cardiologists to justify statins:
- ""stabilize plaque""
- ""pleiotropic effects""
 😙☘️📱",female,neutral,disgust,adult,none,😒,😙☘📱
862,9109,af26d040093e8a6c67e2bc63e4743ff6,Fair enough. I'd love to know more for sure. This feels like a creepy dystopian movie with organ harvesting... 😨,112,8,Fair enough. I'd love to know more for sure. This feels like a creepy dystopian movie with organ harvesting... ,female,negative,fear,adult,against,False,female,negative,fear,adult,none,Fair enough. I'd love to know more for sure. This feels like a creepy dystopian movie with organ harvesting...  🍪😟⭕,female,negative,fear,adult,against,😨,🍪😟
863,9117,9af94d9c04e8c9faaeb5d158f21a3454,Wexford trail behind for the first time under the management of Davy Fitz. Get him out 😂 #WalshCup,98,8,Wexford trail behind for the first time under the management of Davy Fitz. Get him out  #WalshCup,male,negative,anger,adult,against,False,male,negative,anger,adult,against,Wexford trail behind for the first time under the management of Davy Fitz. Get him out  #WalshCup ✅👩🌈,female,negative,anger,adult,against,😂,✅👩🌈
864,9126,2a6a93c2081f0cbc62ec14ff08b2e3f2,It doesn't seem stupid to me to not recognise a politician who retired before ur birth 😕,88,8,It doesn't seem stupid to me to not recognise a politician who retired before ur birth ,female,neutral,disgust,teen,none,True,female,neutral,disgust,teen,none,It doesn't seem stupid to me to not recognise a politician who retired before ur birth  🎂💚♨️,female,neutral,disgust,teen,none,😕,🎂💚♨
865,9127,b3c5d30d67720447406bd45322423507,"you know when you pull your trousers down, over your boots and your socks roll down to your boots 😡🙄 just d…",108,8,"you know when you pull your trousers down, over your boots and your socks roll down to your boots  just d…",female,negative,anger,teen,none,False,female,neutral,disgust,teen,none,"you know when you pull your trousers down, over your boots and your socks roll down to your boots  just d… 👶📸🍒",female,neutral,surprise,child,none,😡🙄,👶📸🍒
866,9133,b3c5d30d67720447406bd45322423507,that's just absolutely disgusting 😡,35,8,that's just absolutely disgusting ,female,negative,disgust,teen,against,False,female,negative,disgust,teen,against,that's just absolutely disgusting  📸😙⬇️,female,negative,disgust,teen,against,😡,📸😙
867,9135,b3c5d30d67720447406bd45322423507,When you go absolute slag for attention and got 3 likes 😂,57,8,When you go absolute slag for attention and got 3 likes ,female,negative,disgust,teen,against,False,female,negative,sadness,teen,against,When you go absolute slag for attention and got 3 likes  🐝😓🌸,female,negative,sadness,teen,against,😂,🐝😓🌸
868,9139,b3c5d30d67720447406bd45322423507,"or I might just get decaf one, problem is they just in basic flavours 🙄",71,8,"or I might just get decaf one, problem is they just in basic flavours ",female,neutral,disgust,teen,none,False,female,neutral,disgust,teen,none,"or I might just get decaf one, problem is they just in basic flavours  🤷🥚😁",female,neutral,happiness,teen,none,🙄,🤷🥚😁
869,9146,b3c5d30d67720447406bd45322423507,I just hate doing cardio 🙈 and not doing enough of abs,54,8,I just hate doing cardio  and not doing enough of abs,female,negative,disgust,teen,none,False,female,negative,anger,teen,none,I just hate doing cardio  and not doing enough of abs 🏁😄🐑,female,neutral,happiness,teen,none,🙈,🏁😄🐑
870,9148,b3c5d30d67720447406bd45322423507,how romantic 🙅🏼‍♂️,18,8,how romantic ,male,negative,disgust,teen,none,False,female,positive,happiness,teen,none,how romantic  🚶🍅👗,female,positive,happiness,teen,none,🙅🏼♂,🚶🍅👗
871,9150,b3c5d30d67720447406bd45322423507,"babes big 😘, time to grow up, u named your dog with another word for vagina not me, deal with it 😘",98,8,"babes big , time to grow up, u named your dog with another word for vagina not me, deal with it ",female,negative,disgust,teen,none,False,female,negative,anger,teen,against,"babes big , time to grow up, u named your dog with another word for vagina not me, deal with it  🤕🌉🥶",female,negative,anger,teen,against,😘😘,🤕🌉🥶
872,9152,b3c5d30d67720447406bd45322423507,"no, think naming dog just for attention reasons is being a dick, but hey not my dog not my vagina 🤷🏽‍♂️",103,8,"no, think naming dog just for attention reasons is being a dick, but hey not my dog not my vagina ",male,negative,anger,teen,against,False,female,negative,anger,teen,against,"no, think naming dog just for attention reasons is being a dick, but hey not my dog not my vagina  🍒✈️🍎",female,negative,anger,teen,against,🤷🏽♂,🍒✈🍎
873,9156,b3c5d30d67720447406bd45322423507,"says Tony who's known from ditching everybody for a D 😂
Weren't you couple hours late that evening ? 🤔",102,8,"says Tony who's known from ditching everybody for a D 
Weren't you couple hours late that evening ? ",male,negative,disgust,teen,none,False,male,negative,anger,teen,none,"says Tony who's known from ditching everybody for a D 
Weren't you couple hours late that evening ?  ⚾🚬🍽️",male,negative,disgust,teen,none,😂🤔,⚾🚬🍽
874,9161,b3c5d30d67720447406bd45322423507,I'm so jealous  has he's own snapchat filter 😉,46,8,I'm so jealous  has he's own snapchat filter ,female,negative,disgust,teen,none,False,female,negative,sadness,teen,none,I'm so jealous  has he's own snapchat filter  🐑☝️👑,female,negative,sadness,teen,none,😉,🐑☝👑
875,9169,b3c5d30d67720447406bd45322423507,"true !
I made this mistake only ones 🙄",38,8,"true !
I made this mistake only ones ",female,negative,disgust,teen,none,True,female,neutral,sadness,teen,none,"true !
I made this mistake only ones  🕳️❣️🍄",female,positive,happiness,teen,none,🙄,🕳❣🍄
876,9170,b3c5d30d67720447406bd45322423507,"just to clarify, it's not about my nudes 🙄",42,8,"just to clarify, it's not about my nudes ",female,neutral,disgust,teen,none,False,female,neutral,disgust,teen,none,"just to clarify, it's not about my nudes  📍🌮🎤",female,neutral,surprise,teen,none,🙄,📍🌮🎤
877,9173,b3c5d30d67720447406bd45322423507,I don't wear Glow by JLo 🙄 wasn't me 🤷🏽‍♂️,42,8,I don't wear Glow by JLo  wasn't me ,male,negative,disgust,teen,none,False,female,neutral,disgust,teen,none,I don't wear Glow by JLo  wasn't me  👽🎥🔗,female,neutral,disgust,teen,none,🙄🤷🏽♂,👽🎥🔗
878,9175,b3c5d30d67720447406bd45322423507,stop flashing my underwear Jack 🙄😜,34,8,stop flashing my underwear Jack ,female,negative,disgust,teen,none,False,female,negative,anger,teen,none,stop flashing my underwear Jack  😓2️⃣🎂,female,negative,sadness,teen,none,🙄😜,😓🎂
879,9178,b3c5d30d67720447406bd45322423507,it's definitely not polish 🤷🏽‍♂️,32,8,it's definitely not polish ,male,neutral,disgust,teen,none,False,male,negative,disgust,teen,none,it's definitely not polish  😯💤🌊,female,negative,surprise,teen,none,🤷🏽♂,😯💤🌊
880,9181,21f9e65f6675575d6ede654397a3026e,"😂😂😂🙈🙈🙈 oh noooo! Doesn't matter how many times I move house, they haven't been able to deliver to any of my addresses!",118,8," oh noooo! Doesn't matter how many times I move house, they haven't been able to deliver to any of my addresses!",female,negative,disgust,adult,none,False,female,negative,frustration,adult,none," oh noooo! Doesn't matter how many times I move house, they haven't been able to deliver to any of my addresses! 🇧🇷💚📚",female,negative,sadness,adult,none,😂😂😂🙈🙈🙈,🇧🇷💚📚
